code,name,amount,vol_ratio,vol_ratio_ma,slope,composite_score,direction,signal,suggestion,checks_passed,percentile
sh688981,中芯国际,372.54,2.66,1.96,0.1072,2.17,放量上涨,强信号,量能处于自身历史高位，重点关注,True,99.0
sz300502,新易盛,301.25,1.14,0.9,0.0615,0.96,正常,一般信号,量能正常，观望或持仓,False,71.7
sh603986,兆易创新,293.88,1.21,1.29,-0.0519,1.23,正常,一般信号,量能正常，观望或持仓,False,74.2
sz300476,胜宏科技,275.43,1.46,1.09,0.1355,1.24,正常,中等信号,量能高于常态，结合走势确认,False,87.5
sz300308,中际旭创,266.33,0.9,0.84,-0.0108,0.83,正常,偏弱,量能偏低，不急于进场,False,46.7
sh688008,澜起科技,244.33,1.09,1.09,-0.0664,1.02,正常,一般信号,量能正常，观望或持仓,False,53.3
sh688256,寒武纪,240.28,1.2,1.19,-0.0299,1.15,正常,一般信号,量能正常，观望或持仓,False,71.7
sz000725,京东方Ａ,224.99,4.56,3.34,1.0565,6.88,放量上涨,强信号,量能处于自身历史高位，重点关注,True,99.0
sh600584,长电科技,210.49,1.61,1.9,-0.0942,1.72,放量上涨,中等信号,量能高于常态，结合走势确认,False,75.0
sz300394,天孚通信,201.05,1.06,1.01,-0.0327,0.98,正常,一般信号,量能正常，观望或持仓,False,55.0
sz002384,东山精密,186.17,0.92,0.97,-0.0108,0.96,正常,偏弱,量能偏低，不急于进场,False,35.8
sh601138,工业富联,184.56,1.02,0.83,-0.0588,0.78,正常,一般信号,量能正常，观望或持仓,False,52.5
sz000988,华工科技,178.98,1.11,1.25,0.0412,1.31,正常,一般信号,量能正常，观望或持仓,False,60.0
sh688012,中微公司,169.43,1.6,1.57,-0.0865,1.44,放量上涨,中等信号,量能高于常态，结合走势确认,False,89.2
sh688041,海光信息,166.2,1.17,1.06,-0.0312,1.03,正常,一般信号,量能正常，观望或持仓,False,67.5
sz002281,光迅科技,159.8,0.94,1.01,-0.0335,0.98,正常,偏弱,量能偏低，不急于进场,False,34.2
sz002475,立讯精密,158.36,1.0,0.83,0.0099,0.83,正常,一般信号,量能正常，观望或持仓,False,58.3
